"Interval start","Tous les paquets"
0,10
0.5,0
1,13
1.5,9
2,0
2.5,0
3,0
3.5,6
4,2
4.5,0
5,2
5.5,6
6,11
6.5,16
7,3
7.5,8
8,58
8.5,26
9,19
9.5,56
10,60
10.5,24
11,36
11.5,10
12,6
12.5,12
13,12
13.5,2
14,43
14.5,25
15,2
15.5,8
16,199
16.5,188
17,117
17.5,62
18,185
18.5,17
19,23
19.5,37
20,156
20.5,71
21,94
21.5,24
22,5
22.5,10
23,11
23.5,0
24,0
24.5,3
25,1
25.5,7
26,11
